p,G,Nm,chi,m1,m2,m3,m4,m5,m6,m7
0.4,61.63084625995639,24.0,-1.1075892070863073e-06,0.38253073978024377,0.3835216321999898,0.3831160597314402,0.10111848988259317,0.10117580794069972,0.10108409348877175,0.10124735259346822
0.405,61.178618658498586,24.0,-1.290005900756266e-06,0.382444196328696,0.3833455638489317,0.38296399402790693,0.10178844314590282,0.10184461679203297,0.10176863653748852,0.1019108923093506
0.41000000000000003,60.727036311191135,24.0,-2.4176227487209727e-06,0.3824850760830851,0.38330879025397363,0.3825366018407934,0.10261090998834435,0.10247984422287809,0.10245713094517551,0.1024240103191079
0.41500000000000004,60.273980176007804,24.0,-2.5539803859850416e-06,0.38233998171660905,0.3831400040329339,0.3823904946886378,0.10333330599262186,0.10317365757305971,0.10315844681132014,0.10312757133141857
0.42000000000000004,59.82334682672417,24.0,-2.0146388956479187e-06,0.38203672533477123,0.38282309183830227,0.38250791668507444,0.1039318150876191,0.10395129547931196,0.1038762828437416,0.10403405225024558
0.42500000000000004,59.37726821076207,24.0,1.175935052150686e-06,0.38216982420315254,0.38269819516403647,0.38203230475014893,0.10458771682059541,0.10457766759151604,0.10460678775558349,0.10471878766481102
0.43,58.92390346970862,24.0,-1.4230420847608774e-06,0.3817224648386931,0.3824239526669873,0.38217102827726773,0.10545364023904755,0.1054440136904079,0.10536992822488736,0.10552117482671049
0.435,58.47537801956714,24.0,-1.3526995336998835e-06,0.38158210340250714,0.3821890947523013,0.3819797428436482,0.10623253224137533,0.1062158989255899,0.10615799429390986,0.10628510969412584
0.44,58.026430781568266,24.0,1.142918107263917e-06,0.3816371875598662,0.3818285812107434,0.38168634296250953,0.10705401799712906,0.10705007348476511,0.10691462016722823,0.10705593106560958
0.445,57.5822963910533,24.0,6.972299064438416e-07,0.3814082737067186,0.3816053181314236,0.3815090538253108,0.10785723746342066,0.10784922940270328,0.10774375963042511,0.1078832343209458
0.45,57.14061660968012,24.0,1.3826347548181192e-06,0.3811178163737058,0.3815211878771422,0.3812485015534621,0.10867176184171956,0.10856713754495684,0.10865935096558386,0.10863408818831255
0.455,56.69537415058706,24.0,1.5528005112761239e-06,0.3808710863089459,0.38111748959309094,0.3811828639072971,0.10954332234645865,0.10952551337349946,0.10970760326607927,0.10926815117910396
0.46,56.25172357460778,24.0,-6.727611482820533e-07,0.3807076098443403,0.38097761324741974,0.3807052143513164,0.1106058384986613,0.11041844847148893,0.1103139214297178,0.11043726817931362
0.465,55.76617738950807,24.0,1.6238561129338757e-07,0.38058954884332424,0.3802794021482683,0.3806347195536062,0.11129971564738331,0.11161385790608959,0.11161321202013279,0.11122886798885151
0.47000000000000003,55.32668269520553,25.0,3.4904434814686525e-07,0.37910476973576857,0.3795336392899949,0.379326661116383,0.11387690530147085,0.11546131469612995,0.11550629558770704,0.11341486558468251
0.475,54.91119184542693,26.0,2.2226226088339213e-06,0.368297133415106,0.36866291232303705,0.37634215349410177,0.13028309093183257,0.13487358224964352,0.140792979976183,0.12497141782635043
0.48,54.6029069184783,28.0,5.557107114217454e-07,0.37236197058034487,0.33433140154983737,0.33453141846407203,0.17231589286240762,0.17461123397728046,0.17258714778969464,0.17408663823994672
0.485,54.3960537011709,29.0,7.446127961701493e-08,0.367395550672661,0.3163096185613838,0.3164900519978272,0.19098824620555627,0.19224913331194246,0.19146221051916937,0.1924883737929824
